Epoch 87: duration loss = 0.936 | prior loss = 1.363 | diffusion loss = 0.107
Epoch 88: duration loss = 0.935 | prior loss = 1.362 | diffusion loss = 0.107
Epoch 89: duration loss = 0.932 | prior loss = 1.361 | diffusion loss = 0.108
Epoch 90: duration loss = 0.931 | prior loss = 1.360 | diffusion loss = 0.109
Epoch 91: duration loss = 0.930 | prior loss = 1.359 | diffusion loss = 0.107
Epoch 92: duration loss = 0.928 | prior loss = 1.360 | diffusion loss = 0.104
Epoch 93: duration loss = 0.927 | prior loss = 1.359 | diffusion loss = 0.107
Epoch 94: duration loss = 0.925 | prior loss = 1.359 | diffusion loss = 0.104
Epoch 95: duration loss = 0.924 | prior loss = 1.357 | diffusion loss = 0.108
Epoch 96: duration loss = 0.923 | prior loss = 1.357 | diffusion loss = 0.108
Epoch 97: duration loss = 0.922 | prior loss = 1.357 | diffusion loss = 0.106
Epoch 98: duration loss = 0.921 | prior loss = 1.356 | diffusion loss = 0.103
Epoch 99: duration loss = 0.921 | prior loss = 1.355 | diffusion loss = 0.106
Epoch 100: duration loss = 0.919 | prior loss = 1.354 | diffusion loss = 0.103
